Number,STATUS,A,L,D,E,F,G,H,I,B,J,K,C,M,N,DATA_ID
2760,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2761,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2762,Not selected,A2,3,0,1,1,0,0,,,,0,,2,,ABX
2763,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2764,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2765,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
2766,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2767,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2768,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2769,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2770,Not selected,A2,1,0,0,0,1,0,,,,0,,3,,ABX
2771,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2772,Not selected,A2,2,0,0,0,1,0,,,,0,,1,,ABX
2773,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2774,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2775,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2776,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
2777,Not selected,A3,2,0,0,0,1,0,,,,0,,1,,ABX
2778,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2779,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2780,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2781,Not selected,A1,2,0,1,1,0,0,,,,0,,3,,ABX
2782,Not selected,A2,2,0,0,0,1,0,,,,0,,1,,ABX
2783,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
2784,Not selected,A2,3,0,0,0,1,0,,,,0,,2,,ABX
2785,Not selected,A2,3,0,0,1,0,1,,,,0,,3,,ABX
2786,Not selected,A2,2,0,1,1,0,0,,,,1,,3,,ABX
2787,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2788,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2789,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2790,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2791,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2792,Not selected,A2,1,0,0,0,1,0,,,,0,,3,,ABX
2793,Selected,A2,1,0,1,1,0,0,,,,0,,1,,ABX
2794,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2795,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2796,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2797,Selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
2798,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2799,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2800,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2801,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2802,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2803,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2804,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2805,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2806,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2807,Selected,A1,1,0,0,0,1,0,,,,0,,3,,ABX
2808,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2809,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2810,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2811,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2812,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2813,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2814,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2815,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2816,Selected,A3,1,0,1,1,0,0,,,,0,,3,,ABX
2817,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2818,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2819,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2820,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2821,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2822,Selected,A2,2,0,0,0,1,0,,,,0,,1,,ABX
2823,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2824,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2825,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2826,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2827,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
2828,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2829,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2830,Selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2831,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2832,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2833,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2834,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2835,Selected,A1,2,0,1,1,0,0,,,,0,,3,,ABX
2836,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2837,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2838,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2839,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2840,Not selected,A2,5,0,0,1,0,1,,,,0,,3,,ABX
2841,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2842,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2843,Selected,A1,3,0,1,1,0,0,,,,0,,3,,ABX
2844,Not selected,A2,3,0,0,0,1,0,,,,0,,2,,ABX
2845,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2846,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2847,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2848,Selected,A2,3,0,1,1,0,0,,,,1,,3,,ABX
2849,Not selected,A2,5,0,0,0,1,0,,,,0,,,,ABX
2850,Selected,A2,2,0,1,1,0,0,,,,0,,1,,ABX
2851,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2852,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2853,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2854,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2855,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2856,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2857,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2858,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2859,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2860,Not selected,A1,2,0,1,1,0,0,,,,0,,1,,ABX
2861,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2862,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2863,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2864,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2865,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2866,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2867,Selected,A1,3,0,1,1,0,0,,,,0,,1,,ABX
2868,Not selected,A3,3,0,0,0,1,0,,,,0,,1,,ABX
2869,Selected,A2,2,0,0,0,1,0,,,,0,,1,,ABX
2870,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2871,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2872,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2873,Selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
2874,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2875,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2876,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2877,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2878,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2879,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2880,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2881,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2882,"Selected, dropped out",A2,3,0,0,0,1,0,,,,0,,3,,ABX
2883,Not selected,A2,5,0,0,0,1,0,,,,1,,3,,ABX
2884,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2885,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2886,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2887,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2888,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2889,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2890,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2891,"Selected, dropped out",A1,3,0,0,1,0,1,,,,1,,1,,ABX
2892,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2893,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2894,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2895,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2896,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2897,"Selected, dropped out",A2,2,0,0,1,0,1,,,,0,,3,,ABX
2898,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2899,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2900,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2901,Not selected,A2,5,0,0,0,1,0,,,,,,3,,ABX
2902,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2903,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2904,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2905,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2906,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2907,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2908,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2909,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2910,Not selected,A2,3,0,0,0,1,0,,,,1,,3,,ABX
2911,Not selected,A2,3,0,1,1,0,0,,,,0,,1,,ABX
2912,Not selected,A2,2,0,0,0,1,0,,,,1,,3,,ABX
2913,Not selected,A2,3,0,0,1,0,1,,,,0,,3,,ABX
2914,Not selected,A2,3,0,0,1,0,1,,,,0,,3,,ABX
2915,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2916,Not selected,A1,1,0,0,0,1,0,,,,0,,3,,ABX
2917,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2918,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2919,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2920,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2921,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2922,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
2923,Not selected,A2,3,0,1,1,0,0,,,,1,,3,,ABX
2924,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2925,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2926,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2927,Not selected,A2,2,0,1,1,0,0,,,,0,,1,,ABX
2928,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2929,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2930,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2931,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2932,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2933,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2934,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2935,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2936,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2937,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2938,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2939,Not selected,A2,3,0,0,0,1,0,,,,0,,2,,ABX
2940,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2941,Not selected,A1,2,0,1,1,0,0,,,,0,,1,,ABX
2942,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2943,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2944,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2945,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2946,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2947,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2948,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2949,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2950,Not selected,A2,5,0,0,1,0,1,,,,0,,3,,ABX
2951,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2952,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2953,Not selected,A2,1,0,0,0,1,0,,,,0,,3,,ABX
2954,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2955,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2956,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2957,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2958,Not selected,A2,3,0,0,0,1,0,,,,1,,1,,ABX
2959,Not selected,A2,3,0,0,0,1,0,,,,1,,3,,ABX
2960,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2961,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2962,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
2963,Not selected,A1,2,0,0,0,1,0,,,,0,,1,,ABX
2964,Not selected,A1,3,0,1,1,0,0,,,,0,,1,,ABX
2965,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2966,Not selected,A1,5,0,0,0,1,0,,,,0,,2,,ABX
2967,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2968,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2969,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
2970,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2971,Not selected,A1,2,0,1,1,0,0,,,,0,,3,,ABX
2972,Not selected,A1,5,0,0,0,1,0,,,,0,,1,,ABX
2973,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2974,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2975,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2976,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2977,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2978,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2979,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
2980,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2981,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
2982,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2983,Not selected,A2,1,0,1,1,0,0,,,,0,,3,,ABX
2984,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2985,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
2986,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2987,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2988,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2989,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
2990,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
2991,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2992,Not selected,A2,2,0,0,0,1,0,,,,1,,3,,ABX
2993,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2994,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
2995,Not selected,A1,5,0,0,0,1,0,,,,0,,1,,ABX
2996,Not selected,A2,1,0,0,0,1,0,,,,0,,1,,ABX
2997,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
2998,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
2999,Not selected,A2,3,0,1,1,0,0,,,,0,,1,,ABX
3000,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3001,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
3002,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3003,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3004,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3005,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3006,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3007,Not selected,A1,5,0,0,0,1,0,,,,0,,1,,ABX
3008,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3009,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3010,Selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3011,Not selected,A3,1,0,0,0,1,0,,,,0,,3,,ABX
3012,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3013,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3014,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
3015,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3016,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
3017,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3018,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3019,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
3020,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3021,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3022,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3023,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3024,Not selected,A1,3,0,0,1,0,1,,,,0,,3,,ABX
3025,Not selected,A1,1,0,0,0,1,0,,,,0,,3,,ABX
3026,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3027,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
3028,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3029,Not selected,A1,1,0,1,1,0,0,,,,0,,3,,ABX
3030,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3031,Not selected,A1,2,0,1,1,0,0,,,,1,,1,,ABX
3032,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3033,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3034,Not selected,A1,5,0,1,1,0,0,,,,1,,3,,ABX
3035,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3036,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3037,Not selected,A2,3,0,0,0,1,0,,,,1,,3,,ABX
3038,Not selected,A2,2,0,0,0,1,0,,,,0,,1,,ABX
3039,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
3040,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3041,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3042,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3043,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3044,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3045,Not selected,A1,5,0,0,0,1,0,,,,0,,1,,ABX
3046,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
3047,Not selected,A2,5,0,1,1,0,0,,,,0,,3,,ABX
3048,Not selected,A1,2,0,1,1,0,0,,,,0,,3,,ABX
3049,Not selected,A1,5,0,0,0,1,0,,,,0,,1,,ABX
3050,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3051,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3052,Not selected,A2,2,0,1,1,0,0,,,,0,,3,,ABX
3053,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3054,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
3055,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
3056,Not selected,A2,5,0,0,0,1,0,,,,0,,1,,ABX
3057,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3058,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3059,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3060,Not selected,A2,3,0,0,0,1,0,,,,0,,2,,ABX
3061,Not selected,A1,3,0,1,1,0,0,,,,0,,1,,ABX
3062,Not selected,A2,1,0,1,1,0,0,,,,0,,3,,ABX
3063,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3064,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3065,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3066,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3067,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
3068,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3069,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3070,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3071,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3072,Not selected,A2,3,0,1,1,0,0,,,,0,,3,,ABX
3073,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3074,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3075,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3076,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3077,Not selected,A1,2,0,1,1,0,0,,,,0,,2,,ABX
3078,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3079,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3080,Not selected,A2,1,0,0,0,1,0,,,,0,,2,,ABX
3081,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3082,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3083,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3084,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3085,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3086,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3087,Not selected,A1,3,0,1,1,0,0,,,,0,,3,,ABX
3088,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
3089,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3090,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3091,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3092,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
3093,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3094,Not selected,A1,3,0,0,0,1,0,,,,0,,1,,ABX
3095,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3096,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
3097,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3098,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3099,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3100,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3101,Not selected,A3,1,0,0,0,1,0,,,,0,,3,,ABX
3102,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3103,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3104,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3105,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
3106,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3107,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3108,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3109,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3110,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3111,Not selected,A2,3,0,0,0,1,0,,,,1,,3,,ABX
3112,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3113,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3114,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3115,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3116,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3117,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3118,Not selected,A1,1,0,1,1,0,0,,,,0,,3,,ABX
3119,Not selected,A2,1,0,0,0,1,0,,,,0,,3,,ABX
3120,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3121,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3122,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3123,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3124,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3125,Not selected,A3,2,0,0,0,1,0,,,,0,,1,,ABX
3126,Not selected,A1,5,0,0,0,1,0,,,,0,,3,,ABX
3127,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3128,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3129,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3130,Not selected,A2,3,0,0,0,1,0,,,,0,,3,,ABX
3131,Not selected,A1,2,0,1,1,0,0,,,,0,,3,,ABX
3132,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3133,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3134,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
3135,Not selected,A2,2,0,0,1,0,1,,,,0,,3,,ABX
3136,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3137,Not selected,A1,3,0,0,0,1,0,,,,0,,3,,ABX
3138,Not selected,A3,2,0,0,1,0,1,,,,0,,3,,ABX
3139,Not selected,A2,3,0,1,1,0,0,,,,,,3,,ABX
3140,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3141,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
3142,Not selected,A1,2,0,0,0,1,0,,,,0,,3,,ABX
3143,Not selected,A2,5,0,0,0,1,0,,,,0,,3,,ABX
3144,Not selected,A2,3,0,0,0,1,0,,,,0,,1,,ABX
3145,Not selected,A2,2,0,0,0,1,0,,,,0,,3,,ABX
3146,Not selected,A1,2,0,0,0,1,0,,,,0,,1,,ABX
